title,genre,tags,platforms,description,metacritic,released
Life is Strange,adventure,"Singleplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Female Protagonist, Dark, Point & Click, Mystery, Short, Choices Matter, Memes, Walking Simulator, Multiple Endings, Story, Episodic, Soundtrack, Time Travel, Time Manipulation, student, strange, photography","PC, PlayStation 4, Xbox One, iOS, Android, macOS, Linux, Xbox 360, PlayStation 3",life-is-strange-episode-1-2,83.0,2015-01-29
Limbo,adventure,"Singleplayer, Full controller support, Atmospheric, 2D, Horror, Difficult, Action-Adventure, Pixel Graphics, Controller, Dark, controller support, Short, Dark Fantasy, Physics, Side Scroller, Cinematic, combat, Linear, Surreal, Puzzle-Platformer, Minimalist, 2D Fighter, Noir, Family Sharing, 2D Platformer","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, Xbox 360, PlayStation 3, PS Vita",limbo,88.0,2010-07-21
The Walking Dead: Season 1,adventure,"Singleplayer, Full controller support, Atmospheric, Story Rich, Third Person, Horror, Gore, Survival, Zombies, Point & Click, Post-apocalyptic, Choices Matter, Mature, Visual Novel, Drama, Episodic, Comic Book, Choose Your Own Adventure, Quick-Time Events","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, macOS, Xbox 360, PlayStation 3, PS Vita",the-walking-dead,92.0,2012-04-23
Little Nightmares,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Horror, Female Protagonist, Stealth, Dark, Survival Horror, controller support, Short, achievements, Puzzle-Platformer, 2.5D","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",little-nightmares,81.0,2017-04-27
Garry's Mod,adventure,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Co-op, First-Person, FPS, Online Co-Op, Funny, Sandbox, Comedy, Steam Workshop, Cross-Platform Multiplayer, Includes level editor, Moddable, Captions available, Physics, Building, Valve Anti-Cheat enabled, vr mod, Mod, Animation & Modeling","PC, macOS, Linux",garrys-mod,,2004-12-24
Amnesia: The Dark Descent,adventure,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich, First-Person, Horror, Exploration, Classic, Survival, Stealth, Dark, Moddable, Survival Horror, Captions available, Commentary available, Gothic, Lovecraftian","PC, macOS, Linux",amnesia-the-dark-descent,85.0,2010-09-08
Alan Wake,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, Third Person, Horror, Survival, Third-Person Shooter, Dark, Survival Horror, controller support, Mystery, Cinematic, Episodic, Narration, Supernatural, Thriller, psycholoical-horror, enviroment","PC, Xbox One, Xbox 360",alan-wake,83.0,2010-05-14
Saints Row: The Third,adventure,"Singleplayer, Multiplayer, Great Soundtrack, RPG, Co-op, Open World, cooperative, Third Person, Partial Controller Support, Online Co-Op, Funny, Sandbox, Female Protagonist, Comedy, Third-Person Shooter, Zombies, Character Customization, Crime, Satire","PC, Xbox One, Linux, Xbox 360, PlayStation 3",saints-row-the-third,84.0,2011-11-15
Detroit: Become Human,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Third Person, Sci-fi, Exploration, Female Protagonist, Violent, Action-Adventure, exclusive, Replay Value, Choices Matter, Cinematic, Futuristic, Cyberpunk, Multiple Endings, Robots, 3rd-Person Perspective, Detective, Drama, Narration, America, Emotional, Beautiful, Dynamic Narration, Remote Play on TV, european, futurism","PC, PlayStation 4",detroit-become-human,79.0,2018-05-25
Dishonored,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Open World, First-Person, Sci-fi, FPS, Fantasy, Stealth, Dark, Replay Value, Magic, Multiple Endings, Dystopian, Steampunk, Assassin","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",dishonored,91.0,2012-09-25
Hellblade: Senua's Sacrifice,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Third Person, Horror, Fantasy, Female Protagonist, Violent, Action-Adventure, Dark, Hack and Slash, Dark Fantasy, Realistic, Walking Simulator, Blood, Psychological, Mythology","PC, Xbox One, PlayStation 4, Nintendo Switch",hellblade-senuas-sacrifice,83.0,2017-08-07
L.A. Noire,adventure,"Singleplayer, Atmospheric, RPG, Story Rich, Open World, Third Person, Partial Controller Support, Third-Person Shooter, Nudity, Mystery, Mature, Cinematic, Crime, 3D Vision, Detective, Noir, Investigation","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3",la-noire,83.0,2011-05-17
Control,adventure,"Singleplayer, Full controller support, Atmospheric, Third Person, Sci-fi, Exploration, Female Protagonist, Action-Adventure, Cinematic, Metroidvania, 3rd-Person Perspective, Detective, Supernatural, Abstract, realism, paranormal","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",control,84.0,2019-08-27
Star Wars Jedi: Fallen Order,adventure,"Singleplayer, Full controller support, Atmospheric, Story Rich, Third Person, Sci-fi, Difficult, Exploration, Space, Hack and Slash, Metroidvania, 3rd-Person Perspective, Heist, Souls-like, Star Wars, ea play, cinema, lightsaber, Singe-player","PC, PlayStation 5, Xbox One, PlayStation 4",jedi-the-fallen-order,80.0,2019-11-15
Death Stranding,adventure,"Singleplayer, Atmospheric, Great Soundtrack, Story Rich, Open World, Third Person, Sci-fi, Partial Controller Support, Horror, Exploration, Survival, Stealth, Action-Adventure, Nudity, Post-apocalyptic, Cinematic, Aliens, Memes, Walking Simulator, 3rd-Person Perspective, Drama, Heist, Masterpiece","PC, PlayStation 4",death-stranding,84.0,2019-11-08
The Last Of Us Remastered,adventure,"Multiplayer, Atmospheric, Survival, Stealth, Action-Adventure, Action RPG, Zombies, exclusive, 3rd-Person Perspective",PlayStation 4,the-last-of-us-remastered,95.0,2014-07-29
Hades,adventure,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, 2D, Fantasy, Action-Adventure, Action RPG, Early Access, Hack and Slash, Replay Value, Roguelike, Isometric, Roguelite, Dungeon Crawler, Hand-drawn, Perma Death, dungeons","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",hades-2018,93.0,2020-09-17
Monster Hunter: World,adventure,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, RPG, Co-op, Open World, cooperative, Third Person, Partial Controller Support, Online Co-Op, Fantasy, Difficult, Exploration, Action-Adventure, Action RPG, stats, Hack and Slash, Character Customization, Replay Value, JRPG, 3rd-Person Perspective, Souls-like, Hunting, Dinosaurs, Monsters, atmosphere","PC, Xbox One, PlayStation 4",monster-hunter-world-2,89.0,2018-01-26
Mad Max,adventure,"Singleplayer, Multiplayer, Full controller support, Atmospheric, RPG, Open World, First-Person, Third Person, Exploration, Sandbox, Survival, Third-Person Shooter, War, Post-apocalyptic, Driving, movie-based","PC, Xbox One, PlayStation 4, macOS, Linux, Xbox 360",mad-max,73.0,2015-08-31
Bastion,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, 2D, Fantasy, Steam Leaderboards, Action RPG, Controller, role-playing, Hack and Slash, Post-apocalyptic, controller support, Short, Colorful, Isometric, Music, Hand-drawn, Narration, Twin Stick Shooter, Dynamic Narration, Narrative","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, macOS, Linux, Xbox 360, PS Vita",bastion,86.0,2011-07-20
Batman: Arkham City - Game of the Year Edition,adventure,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Open World, Third Person, Partial Controller Support, Sandbox, Stealth, Action-Adventure, Controller, Cinematic, Beat 'em up, Metroidvania, 3D Vision, Detective, Comic Book, Superhero, Batman","PC, Xbox One, PlayStation 4, macOS, Xbox 360, PlayStation 3",batman-arkham-city-goty,91.0,2012-09-07
ARK: Survival Evolved,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, RPG, Co-op, Open World, cooperative, First-Person, Sci-fi, Sandbox, Survival, Free to Play, Early Access, Steam Workshop, role-playing, Includes level editor, Crafting, Building, VR, Valve Anti-Cheat enabled, mmo, MMORPG, Base Building, Dragons, Dinosaurs","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",ark-survival-evolved,70.0,2015-06-02
Resident Evil 7: Biohazard,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, First-Person, Horror, FPS, Gore, Exploration, Classic, Survival, Violent, Action-Adventure, Zombies, Survival Horror, Cinematic, Memes, VR, Detective, America","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",resident-evil-7-biohazard,85.0,2017-01-23
Journey,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Story Rich, cooperative, First-Person, Horror, FPS, Online Co-Op, Exploration, Classic, Free to Play, Action-Adventure, Family Friendly, Mystery, 3D, Multiple Endings, 3rd-Person Perspective, Music, Stylized, Masterpiece, Beautiful, calm, peaceful","PC, PlayStation 4, iOS, PlayStation 3",journey,92.0,2012-03-13
Batman: Arkham Asylum Game of the Year Edition,adventure,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Open World, Third Person, Partial Controller Support, Horror, Stealth, Action-Adventure, Controller, Beat 'em up, Metroidvania, 3D Vision, Detective, Comic Book, Superhero, Batman","PC, PlayStation 4, Xbox 360, PlayStation 3",batman-aa-goty,91.0,2010-03-26
SEGA Mega Drive and Genesis Classics,adventure,"Singleplayer, Multiplayer, Full controller support, RPG, Co-op, cooperative, 2D, Local Co-Op, Steam Workshop, Retro, VR, Beat 'em up","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",sega-mega-drive-and-genesis-classics,76.0,2010-06-01
